time,open,high,low,close,volume
2019-02-14 14:48:00,111.023,111.029,111.023,111.029,61.0
2019-02-14 14:49:00,111.029,111.05,111.027,111.043,116.0
2019-02-14 14:50:00,111.043,111.048,111.041,111.048,85.0
2019-02-14 14:51:00,111.048,111.049,111.044,111.046,94.0
2019-02-14 14:52:00,111.046,111.048,111.036,111.04,90.0
2019-02-14 14:53:00,111.04,111.043,111.032,111.033,63.0
2019-02-14 14:54:00,111.033,111.035,111.031,111.034,82.0
2019-02-14 14:55:00,111.034,111.034,111.025,111.029,92.0
2019-02-14 14:56:00,111.029,111.041,111.028,111.04,72.0
2019-02-14 14:57:00,111.041,111.041,111.029,111.032,75.0
2019-02-14 14:58:00,111.032,111.037,111.029,111.035,75.0
2019-02-14 14:59:00,111.035,111.035,111.027,111.027,71.0
2019-02-14 15:00:00,111.025,111.029,111.017,111.027,103.0
2019-02-14 15:01:00,111.027,111.028,111.019,111.024,95.0
2019-02-14 15:02:00,111.024,111.026,111.019,111.024,90.0
2019-02-14 15:03:00,111.024,111.024,111.013,111.015,82.0
2019-02-14 15:04:00,111.015,111.022,111.01,111.018,72.0
2019-02-14 15:05:00,111.018,111.032,111.015,111.021,71.0
2019-02-14 15:06:00,111.021,111.026,111.021,111.023,56.0
2019-02-14 15:07:00,111.023,111.035,111.023,111.034,68.0
2019-02-14 15:08:00,111.034,111.037,111.027,111.037,78.0
2019-02-14 15:09:00,111.037,111.058,111.037,111.043,95.0
2019-02-14 15:10:00,111.043,111.044,111.038,111.04,87.0
2019-02-14 15:11:00,111.04,111.047,111.04,111.047,79.0
2019-02-14 15:12:00,111.047,111.053,111.037,111.04,89.0
2019-02-14 15:13:00,111.04,111.041,111.033,111.04,81.0
2019-02-14 15:14:00,111.04,111.04,111.026,111.028,93.0
2019-02-14 15:15:00,111.028,111.028,111.022,111.022,94.0
2019-02-14 15:16:00,111.022,111.024,111.019,111.021,79.0
2019-02-14 15:17:00,111.021,111.029,111.021,111.028,81.0
2019-02-14 15:18:00,111.028,111.041,111.025,111.035,111.0
2019-02-14 15:19:00,111.034,111.04,111.032,111.032,80.0
2019-02-14 15:20:00,111.032,111.032,111.022,111.027,71.0
2019-02-14 15:21:00,111.026,111.041,111.019,111.04,103.0
2019-02-14 15:22:00,111.041,111.041,111.023,111.023,84.0
2019-02-14 15:23:00,111.024,111.024,111.017,111.019,64.0
2019-02-14 15:24:00,111.019,111.024,111.018,111.023,66.0
2019-02-14 15:25:00,111.023,111.024,111.019,111.019,68.0
2019-02-14 15:26:00,111.019,111.02,111.012,111.016,72.0
2019-02-14 15:27:00,111.017,111.022,111.01,111.016,80.0
2019-02-14 15:28:00,111.016,111.016,111.015,111.016,46.0
2019-02-14 15:29:00,111.016,111.02,110.996,111.003,120.0
2019-02-14 15:30:00,111.003,111.003,110.823,110.855,257.0
2019-02-14 15:31:00,110.858,110.867,110.829,110.846,202.0
2019-02-14 15:32:00,110.846,110.846,110.772,110.772,230.0
2019-02-14 15:33:00,110.776,110.778,110.745,110.766,207.0
2019-02-14 15:34:00,110.767,110.769,110.737,110.748,219.0
2019-02-14 15:35:00,110.74,110.74,110.707,110.721,221.0
2019-02-14 15:36:00,110.721,110.722,110.702,110.717,161.0
2019-02-14 15:37:00,110.719,110.772,110.707,110.757,205.0
2019-02-14 15:38:00,110.756,110.796,110.742,110.794,181.0
2019-02-14 15:39:00,110.788,110.797,110.77,110.771,166.0
2019-02-14 15:40:00,110.769,110.775,110.748,110.755,150.0
2019-02-14 15:41:00,110.756,110.784,110.75,110.781,179.0
2019-02-14 15:42:00,110.781,110.789,110.744,110.753,154.0
2019-02-14 15:43:00,110.753,110.754,110.693,110.699,165.0
2019-02-14 15:44:00,110.702,110.719,110.669,110.678,159.0
2019-02-14 15:45:00,110.678,110.728,110.675,110.727,175.0
2019-02-14 15:46:00,110.726,110.745,110.723,110.728,135.0
2019-02-14 15:47:00,110.727,110.731,110.714,110.729,108.0
2019-02-14 15:48:00,110.731,110.731,110.704,110.723,115.0
2019-02-14 15:49:00,110.723,110.723,110.692,110.697,118.0
2019-02-14 15:50:00,110.697,110.697,110.671,110.674,124.0
2019-02-14 15:51:00,110.678,110.697,110.673,110.673,153.0
2019-02-14 15:52:00,110.673,110.714,110.673,110.705,121.0
2019-02-14 15:53:00,110.705,110.705,110.684,110.699,127.0
2019-02-14 15:54:00,110.7,110.701,110.65,110.651,130.0
2019-02-14 15:55:00,110.652,110.655,110.636,110.638,132.0
2019-02-14 15:56:00,110.64,110.66,110.636,110.651,156.0
2019-02-14 15:57:00,110.651,110.66,110.638,110.642,132.0
2019-02-14 15:58:00,110.646,110.646,110.585,110.6,152.0
2019-02-14 15:59:00,110.601,110.601,110.578,110.595,154.0
2019-02-14 16:00:00,110.598,110.613,110.569,110.576,159.0
2019-02-14 16:01:00,110.575,110.601,110.575,110.597,152.0
2019-02-14 16:02:00,110.598,110.598,110.54,110.561,177.0
2019-02-14 16:03:00,110.562,110.606,110.561,110.597,143.0
2019-02-14 16:04:00,110.599,110.604,110.592,110.604,147.0
2019-02-14 16:05:00,110.604,110.617,110.594,110.617,126.0
2019-02-14 16:06:00,110.617,110.641,110.617,110.636,150.0
2019-02-14 16:07:00,110.633,110.634,110.618,110.623,153.0
2019-02-14 16:08:00,110.624,110.644,110.624,110.644,120.0
2019-02-14 16:09:00,110.644,110.646,110.616,110.618,118.0
2019-02-14 16:10:00,110.622,110.622,110.592,110.593,103.0
2019-02-14 16:11:00,110.593,110.606,110.583,110.594,113.0
2019-02-14 16:12:00,110.595,110.605,110.585,110.59,111.0
2019-02-14 16:13:00,110.592,110.612,110.582,110.611,117.0
2019-02-14 16:14:00,110.615,110.625,110.611,110.619,114.0
2019-02-14 16:15:00,110.619,110.632,110.615,110.621,97.0
2019-02-14 16:16:00,110.62,110.625,110.599,110.621,107.0
2019-02-14 16:17:00,110.621,110.622,110.603,110.606,109.0
2019-02-14 16:18:00,110.606,110.606,110.588,110.597,107.0
2019-02-14 16:19:00,110.595,110.602,110.582,110.588,109.0
2019-02-14 16:20:00,110.589,110.589,110.567,110.577,99.0
2019-02-14 16:21:00,110.577,110.59,110.568,110.584,94.0
2019-02-14 16:22:00,110.587,110.594,110.58,110.58,93.0
2019-02-14 16:23:00,110.577,110.577,110.561,110.562,109.0
2019-02-14 16:24:00,110.562,110.562,110.545,110.545,81.0
2019-02-14 16:25:00,110.549,110.549,110.521,110.535,134.0
2019-02-14 16:26:00,110.536,110.556,110.536,110.545,132.0
2019-02-14 16:27:00,110.545,110.553,110.525,110.537,109.0
2019-02-14 16:28:00,110.54,110.547,110.532,110.537,115.0
2019-02-14 16:29:00,110.537,110.548,110.534,110.535,95.0
2019-02-14 16:30:00,110.538,110.562,110.52,110.52,176.0
2019-02-14 16:31:00,110.522,110.536,110.491,110.492,177.0
2019-02-14 16:32:00,110.492,110.513,110.492,110.511,156.0
2019-02-14 16:33:00,110.511,110.541,110.495,110.537,157.0
2019-02-14 16:34:00,110.538,110.557,110.535,110.557,177.0
2019-02-14 16:35:00,110.558,110.569,110.541,110.568,154.0
2019-02-14 16:36:00,110.57,110.589,110.57,110.583,148.0
2019-02-14 16:37:00,110.583,110.6,110.576,110.6,137.0
2019-02-14 16:38:00,110.599,110.603,110.594,110.596,127.0
2019-02-14 16:39:00,110.595,110.597,110.539,110.552,156.0
2019-02-14 16:40:00,110.552,110.562,110.538,110.54,143.0
2019-02-14 16:41:00,110.541,110.566,110.533,110.564,154.0
2019-02-14 16:42:00,110.564,110.568,110.558,110.567,115.0
2019-02-14 16:43:00,110.566,110.57,110.54,110.555,127.0
2019-02-14 16:44:00,110.553,110.553,110.53,110.547,163.0
2019-02-14 16:45:00,110.547,110.556,110.533,110.547,137.0
2019-02-14 16:46:00,110.546,110.603,110.528,110.603,179.0
2019-02-14 16:47:00,110.611,110.644,110.606,110.615,193.0
2019-02-14 16:48:00,110.614,110.614,110.593,110.605,184.0
2019-02-14 16:49:00,110.607,110.613,110.564,110.571,152.0
2019-02-14 16:50:00,110.571,110.571,110.525,110.55,148.0
2019-02-14 16:51:00,110.55,110.565,110.546,110.553,136.0
2019-02-14 16:52:00,110.555,110.564,110.536,110.544,171.0
2019-02-14 16:53:00,110.544,110.563,110.544,110.56,147.0
2019-02-14 16:54:00,110.56,110.562,110.545,110.561,138.0
2019-02-14 16:55:00,110.56,110.576,110.553,110.576,149.0
2019-02-14 16:56:00,110.575,110.585,110.565,110.582,138.0
2019-02-14 16:57:00,110.582,110.604,110.58,110.597,99.0
2019-02-14 16:58:00,110.597,110.602,110.588,110.596,88.0
2019-02-14 16:59:00,110.596,110.608,110.596,110.605,99.0
2019-02-14 17:00:00,110.605,110.605,110.577,110.581,126.0
2019-02-14 17:01:00,110.581,110.605,110.581,110.605,99.0
2019-02-14 17:02:00,110.605,110.621,110.584,110.619,168.0
2019-02-14 17:03:00,110.617,110.647,110.616,110.635,147.0
2019-02-14 17:04:00,110.635,110.657,110.633,110.656,133.0
2019-02-14 17:05:00,110.657,110.689,110.652,110.685,131.0
2019-02-14 17:06:00,110.686,110.689,110.675,110.676,126.0
2019-02-14 17:07:00,110.677,110.714,110.676,110.692,136.0
2019-02-14 17:08:00,110.691,110.71,110.685,110.692,131.0
2019-02-14 17:09:00,110.692,110.696,110.664,110.667,110.0
2019-02-14 17:10:00,110.669,110.698,110.669,110.684,147.0
2019-02-14 17:11:00,110.684,110.718,110.684,110.709,149.0
2019-02-14 17:12:00,110.708,110.708,110.686,110.702,120.0
2019-02-14 17:13:00,110.7,110.72,110.696,110.714,121.0
